# time in Gyr, position in kpc, velocity in km/s
#t x y z vx vy vz
0.00 -476.25 491.47 -412.34 45.35 101.97 142.01
0.07 -472.87 498.93 -402.00 48.26 106.43 147.12
0.14 -469.14 506.71 -391.36 58.54 111.42 150.78
0.21 -464.70 514.90 -380.29 63.15 116.57 159.98
0.29 -459.91 523.43 -368.50 71.81 123.79 170.87
0.36 -454.39 532.50 -355.82 81.38 129.03 183.41
0.43 -448.05 541.93 -342.35 96.30 133.65 191.20
0.50 -440.86 551.49 -328.39 108.40 135.04 202.88
0.57 -432.25 561.19 -313.58 130.06 136.88 210.51
0.64 -422.08 570.93 -298.01 153.81 133.88 222.67
0.71 -410.38 580.36 -281.63 177.90 126.64 235.17
0.79 -396.72 588.94 -264.54 205.42 113.65 242.93
0.86 -380.92 596.29 -247.10 236.44 93.15 247.51
0.93 -362.85 601.85 -229.33 263.47 59.79 245.39
1.00 -343.43 605.14 -212.06 280.15 31.99 237.25
1.07 -323.19 606.37 -195.55 287.83 1.98 220.23
1.14 -302.70 605.49 -180.47 286.53 -25.18 203.89
1.21 -282.28 602.78 -166.45 281.36 -53.32 186.64
1.29 -262.55 598.36 -153.57 271.22 -68.64 175.58
1.36 -243.37 592.96 -141.40 262.76 -81.44 164.14
1.43 -224.83 586.57 -130.16 256.73 -96.41 150.26
1.50 -207.04 579.28 -119.84 244.57 -107.59 139.35
1.57 -189.87 571.29 -110.34 237.01 -115.50 129.90
1.64 -173.27 562.83 -101.36 227.47 -122.84 119.64
1.71 -157.46 553.83 -93.08 217.72 -131.01 112.47
1.79 -142.27 544.26 -85.36 207.53 -135.59 104.78
1.86 -127.76 534.40 -78.13 199.11 -141.79 98.48
1.93 -113.67 524.06 -71.42 190.71 -147.67 90.24
2.00 -100.29 513.27 -65.19 182.51 -155.04 84.02
2.07 -87.61 502.05 -59.36 171.11 -157.57 79.94
2.14 -75.63 490.77 -53.89 168.09 -157.24 73.44
2.21 -64.02 479.33 -48.97 156.68 -161.29 68.11
2.29 -52.96 467.57 -44.23 149.99 -165.40 63.30
2.36 -42.40 455.63 -39.84 144.12 -170.00 58.47
2.43 -32.35 443.40 -35.71 134.61 -170.64 56.18
2.50 -23.08 431.08 -31.85 124.22 -176.25 51.63
2.57 -14.40 418.43 -28.26 116.51 -179.03 47.25
2.64 -6.21 405.44 -24.99 111.40 -185.62 44.30
2.71 1.30 392.10 -22.05 102.78 -186.94 38.37
2.79 8.51 378.66 -19.50 97.65 -189.97 33.29
2.86 15.21 364.84 -17.15 88.89 -195.98 29.89
2.93 21.05 350.70 -15.15 76.82 -200.40 24.58
3.00 26.26 336.29 -13.48 68.80 -203.25 21.74
3.07 30.79 321.57 -11.95 58.16 -207.91 18.73
3.14 34.53 306.51 -10.74 47.56 -213.88 15.47
3.21 37.51 291.13 -9.90 36.68 -218.24 8.76
3.29 39.53 275.31 -9.47 20.79 -223.20 3.28
3.36 40.50 259.25 -9.31 4.76 -228.16 -0.94
3.43 40.18 242.84 -9.53 -13.31 -231.90 -7.08
3.50 38.60 226.04 -10.30 -32.27 -238.68 -14.09
3.57 35.60 208.77 -11.59 -54.40 -244.94 -20.58
3.64 30.90 191.16 -13.41 -80.01 -246.23 -32.22
3.71 23.98 173.64 -16.06 -113.72 -243.07 -44.04
3.79 14.47 156.62 -19.65 -152.03 -232.42 -56.80
3.86 2.43 140.73 -24.22 -188.08 -210.46 -71.71
3.93 -12.10 126.71 -29.65 -219.98 -178.97 -81.14
4.00 -28.74 115.70 -35.60 -246.20 -128.93 -86.10
4.07 -47.00 108.43 -41.57 -260.07 -70.29 -78.51
4.14 -65.25 105.84 -46.87 -250.78 -1.95 -66.73
4.21 -82.18 108.25 -50.97 -219.23 69.49 -47.16
4.29 -96.00 115.28 -53.68 -165.94 123.73 -29.20
4.36 -105.56 125.39 -55.01 -104.51 154.59 -10.46
4.43 -110.98 137.04 -55.07 -46.77 168.80 6.80
4.50 -112.59 149.10 -54.14 1.44 169.49 16.54
4.57 -111.06 161.07 -52.71 39.62 165.22 25.74
4.64 -106.94 172.64 -50.61 71.81 160.28 30.90
4.71 -100.72 183.76 -48.17 100.66 153.72 39.68
4.79 -92.70 194.39 -45.03 125.22 145.90 49.67
4.86 -82.75 204.45 -41.14 148.58 137.70 59.53
4.93 -71.54 213.94 -36.38 167.19 129.74 72.01
5.00 -59.16 223.01 -30.83 183.27 123.02 85.61
5.07 -45.23 231.59 -23.99 206.24 120.48 106.46
5.14 -29.89 240.09 -15.14 230.43 113.39 144.42
5.21 -12.61 247.32 -2.69 255.13 86.66 212.97
5.29 5.12 250.54 15.12 232.19 -5.58 276.94
5.36 19.69 247.16 34.43 179.48 -80.62 259.66
5.43 31.07 240.28 51.53 142.76 -112.58 221.14
5.50 40.40 231.67 65.88 118.50 -131.76 184.61
5.57 47.96 222.04 77.88 95.54 -142.64 157.51
5.64 54.17 211.76 87.94 78.36 -149.69 128.94
5.71 59.28 200.68 96.29 63.57 -157.81 104.67
5.79 63.48 189.45 103.01 50.90 -161.97 81.66
5.86 66.66 177.92 107.82 34.11 -167.30 57.93
5.93 68.39 165.89 110.98 20.31 -167.46 36.39
