# time in Gyr, position in kpc, velocity in km/s
#t x y z vx vy vz
0.00 -0.84 2.32 -1.44 -3.01 -1.77 -0.48
0.07 -1.21 2.49 -1.48 -5.05 3.51 -0.46
0.14 -1.49 2.72 -1.57 -6.47 5.82 -0.85
0.21 -2.07 3.26 -1.60 -3.97 7.55 0.10
0.29 -2.32 3.81 -1.61 -3.72 8.36 -0.24
0.36 -2.62 4.39 -1.57 -3.57 7.96 0.46
0.43 -2.99 5.01 -1.64 -5.56 10.05 -2.03
0.50 -3.34 5.69 -1.82 -4.59 8.72 -2.81
0.57 -3.63 6.15 -2.04 -4.36 7.10 -2.30
0.64 -3.96 6.67 -2.20 -5.83 6.06 -2.09
0.71 -4.49 7.25 -2.29 -6.74 9.46 -1.07
0.79 -4.97 8.08 -2.54 -6.17 11.73 -5.90
0.86 -5.37 8.90 -3.09 -7.06 9.27 -9.03
0.93 -6.04 9.66 -3.65 -8.22 10.07 -9.24
1.00 -6.64 10.33 -4.29 -5.53 8.85 -8.22
1.07 -7.04 10.97 -4.88 -5.22 10.36 -8.59
1.14 -7.55 11.96 -5.62 -7.09 16.41 -10.13
1.21 -8.11 13.17 -6.39 -8.74 16.93 -10.81
1.29 -8.74 14.41 -7.14 -8.54 18.73 -10.88
1.36 -9.31 15.76 -7.94 -9.87 19.13 -11.22
1.43 -9.96 17.09 -8.82 -8.78 14.93 -13.10
1.50 -10.72 18.33 -9.81 -10.62 20.58 -14.31
1.57 -11.41 19.75 -10.84 -11.36 22.25 -15.31
1.64 -12.30 21.50 -11.78 -13.87 25.57 -12.83
1.71 -13.23 23.35 -12.74 -12.96 27.19 -13.97
1.79 -14.27 25.33 -13.75 -14.11 27.25 -15.10
1.86 -15.34 27.26 -14.82 -16.78 29.07 -14.69
1.93 -16.63 29.34 -15.78 -22.30 30.35 -14.63
2.00 -18.19 31.75 -16.87 -21.34 33.25 -14.84
2.07 -19.74 34.21 -17.99 -22.78 37.41 -16.08
2.14 -21.33 37.04 -19.18 -19.91 39.56 -15.58
2.21 -22.78 39.89 -20.43 -21.68 40.47 -18.87
2.29 -24.37 42.85 -21.83 -23.74 40.59 -18.95
2.36 -26.10 45.86 -23.16 -24.23 45.08 -18.87
2.43 -27.69 49.09 -24.49 -22.45 44.62 -18.92
2.50 -29.32 52.27 -25.88 -23.58 48.38 -19.57
2.57 -31.03 55.91 -27.36 -25.30 52.43 -21.28
2.64 -32.84 59.66 -28.78 -26.79 52.27 -19.37
2.71 -34.83 63.57 -30.28 -27.74 54.79 -21.89
2.79 -36.91 67.76 -31.90 -29.03 59.14 -23.65
